,Question
155911,"This magical nanny liked to travel light, with only an umbrella & a carpetbag"
133767,Ungainly
70031,"This classic name for dogs comes from the Latin for ""faithful"""
91379,Muammar Al-Qaddafi is this country's head of state but has no official title
151660,Term given to the tundra's always-frozen soil layer
120028,"Andrei Rublev was Russia's greatest painter of these, meaning ""images"""
10625,"In TV, it's the VC in VCR (you do remember those, don't you?)"
189159,"In his biggest hit, Tiny Tim wanted you to ""Tip-Toe Thru""' these"
159212,Paul Hornung (1957-1966)
119152,This food tartare originated in medieval Russia
62688,She held the post of Secretary of Transportation 1983-87
172695,This frontier hero's reconstructed log cabin now stands on the grounds of a Tennessee high school
83047,It's the number of flags in the name of a famous theme park chain
152601,"If you ask your beautiful young Parisian escort ""Parlez vous Anglais?"", you've asked her this"
101626,"North Dakota: ""Liberty and Union, now and forever, one and"" this"
160337,"A pate-like dish, or the name of the mold in which pate is baked"
200122,"It was destroyed in Havana Harbor on Feb. 15, 1898"
133633,This son of Bathsheba was noted for a meeting with the Queen of Sheba
91798,"Completes the line from ""To Helen"", ""To the glory that was Greece & ..."""
156529,Sonja Henie
183680,"This strong, coarsely woven fabric often used to make sacks is also known as jute hessian"
114158,"In the second column from the right, sixth down, John Witherspoon's signature can be seen on this"
36643,A British term for a county; Robin Hood's Sherwood Forest was in the one named for Nottingham
10896,The Asiatic black bear also bears the beary nice name of these Indian mountains where it dwells
38075,A big change is in the air for Gregor Samsa in this 1915 story
102016,"(Hi, I'm Darrell Green of the Washington Redskins.)  In 1997, I was selected for the 7th time to the NFL Pro Bowl game, played each year in this state capital"
128711,"At spectrum auctions, the government sells parts of this 9-letter spectrum"
39349,& the Blue Notes
115466,Playgirl & Prima Ballerina are pretty pink varieties of this flower
6171,"A total of 22 means you've gone ""bust"" in this card game"
125025,"""2, 4, 6, 8 / Homer's crime was very great / 'Great'  meaning large or immense / We use it in the pejorative sense"""
74666,The plan of colonial union named for this city in New York called for a grand council & a president general
104337,Madonna could have gone to Madonna Univ. in Livonia but instead attended this bigger school in Ann Arbor
139766,It's a wild goat of the Himalayas
35525,"In this 1903 book, Buck, a dog in California, is stolen & taken to the Klondike"
143298,You exhale this gas first identified by British scientist Joseph Black in the 1750s
184244,"Known as ""The Express"", he led the AL in strikeouts 9 times while with Texas & California"
167911,"Hitchcock's ""Blackmail"" of 1929 was Britain's first feature film of this type"
118085,Paparazzi learned to duck when trying to snap a picture of this actor/then-husband of Madonna's
64956,"The neighborhood around this abandoned Niagara Falls, N.Y. canal had to be abandoned due to toxics"
86475,"To minimize the effects of human light, Keck, the world's largest optical telescope, is located on this dormant volcano"
100693,Deficient production of hormones by these endocrine glands causes Addison's disease
59649,"In Washington D.C.'s Statuary Hall, a sculpture of this orator represents New Hampshire"
134921,Georgie Porgie made the girls cry by doing this
19153,3 of the men who raised the flag on Mount Suribachi in World War II had bit roles in this 1949 John Wayne film
178755,This term for the husband of an adulterous wife is derived from cuckoo
37047,Eldridge's cloth-makers
190569,Panama's currency is named for this explorer who discovered the Pacific Ocean there
141307,The 2 states that don't border any others
35854,This Buffalo team is the only team to lose the Super Bowl 4 straight years
109587,Cornell University has a lab set up for these animals that only seem to pop up in the news on February 2
127316,In 1985 3 members of this family were arrested for participating in a Naval spy ring
73624,E.V.s suck up this 4-letter renewable energy source; its worldwide kinetic energy is said to be 11 quadrillion kW-hours per year
83405,"""...Tough kids, sissy kids, even kids with chicken pox love"" these"
151797,This 1994 prison film with Tim Robbins & Morgan Freeman was based on a Stephen King tale
148946,AAII
33916,"(<a href=""http://www.j-archive.com/media/2009-04-08_DJ_27.jpg"" target=""_blank"">Jon of the Clue Crew reports from the Capitol Building in Williamsburg, VA.</a>)  In April of 1781, <a href=""http://www.j-archive.com/media/2009-04-08_DJ_27a.jpg"" target=""_blank"">this</a> general, an American traitor, helped British forces seize Williamsburg & raise the English flag over the <a href=""http://www.j-archive.com/media/2009-04-08_DJ_27b.jpg"" target=""_blank"">capitol</a>"
159294,"This semitropical citrus fruit looks like a large, bumpy lemon"
170396,The Colonial Dames donated an elegant portico that was erected around this rock in 1920
191298,"""On Sunset Boulevard"" is a book about ""The Life and Times of"" this famous film director"
130706,"Hailing from West Branch, Iowa, he was the first president born west of the Mississippi"
163614,"Sela Ward of ""Sisters"" plays Helen Kimble in this 1993 film"
82683,This type of weather radar calculates the speed & direction of a weather system
177149,"The Bonhomme Richard, the Mayflower, the Beagle"
167307,"Completes ""Heav'n has no Rage, like Love to Hatred turn'd, Nor Hell a Fury, like"" this"
103188,"(Hi, I'm Thomas Gibson)  I made my feature film debut in 1992's ""Far and Away"", which starred this married couple"
200393,"Too distraught, she did not attend the 1865 funeral of her assassinated husband"
2598,"In the year prior to his death, Nero participated in these games in Greece"
205604,European nations joined forces to form this company whose widebody A300 was launched in 1974
121166,"After overthrowing Milton Obote in 1971, he had some 300,000 people killed"
153581,"In ""White Fang"", Jack London reversed the theme of this earlier novel"
197902,"""Daddy, I have had to kill you. You died before I had time"""
146874,The stars shine bright in this city for Major League Soccer's Galaxy
131488,"On seeing one of these Paul du Chaillu wrote, ""He was not afraid of us.  He stood there, and beat his breast..."""
202467,"Chapter XVI of this novel concerns ""The Inn Which He Took for a Castle"""
173741,In 1926 Lindbergh had to parachute out of planes 4 times while employed to do this
5604,"Wyndham,  C.S., Sinclair"
13765,Emily Post says corn should never be served this way at a formal dinner
185314,This method of dunking bread in bubbling cheese was all the rage in the 1960s
5295,Chinese city opposite Hong Kong island
185344,Don Quixote
168807,An eerie fascination with fire fuels this 1991 Kurt Russell picture about heroic Chicago firefighters
166822,"Originally a place in which fowl fought, it now often refers to the pilot's compartment in an airplane"
170686,In 1913 the 16th Amendment was passed allowing Congress to collect taxes on this
30843,"Sections of the lengthy Eliot poem about this place include ""The Fire Sermon"" & ""What the Thunder Said"""
194123,This pale ale that's brewed in the Northern California city of Chico is named for a nearby mountain range
159239,"The ""Plains"" folk governor & the long-imprisoned boxer"
147504,"Before Prince Andrew, he was the last Duke of York"
57905,The 2 types of insects that make up the order Lepidoptera
64029,"In 1722 French explorer Bernard de la Harpe called the site of this city ""La Petite Roche"""
70926,"After leading Team USA to the Olympic Gold in soccer in 2004, she retired with a record 158 international goals"
173756,"This trio who grew up in Australia made ""One"" big comeback in '89, proving they're ""Stayin' Alive"""
127991,"A ""bombilation"" is this type of sound often heard near beehives"
4982,"Nancy Ross, Angela Davis, & Geraldine Ferraro all sought this office in 1984"
176975,"<a href=""http://www.j-archive.com/media/1997-09-17_J_09.mp3"">[instrumental]</a>"
79939,"A ploy used to prod somebody into compliant behavior is known as this ""and stick"""
84555,Basketball defense or Serling's twilight area
121809,Ria: a narrow inlet of the sea formed by this type of valley that's been partly submerged
151523,"Snowball, Napoleon, Squealer"
19314,"A fixed look, or Ginger Rogers' partner"
39519,"Keep an eye on the savannah type of this lizard seen <a href=""http://www.j-archive.com/media/2007-03-15_J_20.jpg"" target=""_blank"">here</a>"
80914,"Of the Quad Cities, this Iowa one is where you'd most likely want to sit down & put your feet up"
22265,In the lobby of Hollywood's Roosevelt Hotel is a mirror said to be haunted by this blonde who died in 1962
91123,"""Malt does more than"" this poet ""can to justify God's ways to man"""
68381,"In Japan, a type of this curd normally made with soy beans is made with kudzu"
99674,Large hog-like mammal: I TRAP
161211,The Thailand edition of this CBS series won a 2003 People's Choice Award for best reality program
29319,"Jermaine to this category is this quintet with hits such as ""I'll Be There"" & ""Dancing Machine"""
164480,"The high-speed ""Lola rennt"""
115963,Children's Hospital in Boston is the primary pediatric teaching hospital of this university
95684,"Character whose lines are heard here: ""I am forbid to tell the secrets of my prison house.  I could a tale unfold..."""
45747,Africa is connected to Asia via this isthmus
113916,"In 1998 Mike Piazza set a short-lived record in this category:  7 years, 91 million"
